Datetime,Equity_Value,Date
2017-10-27 14:44:00,1092670.8,2017-10-27
2017-10-27 14:45:00,1092671.2,2017-10-27
2017-10-27 14:46:00,1092670.85,2017-10-27
2017-10-27 14:47:00,1092671.35,2017-10-27
2017-10-27 14:48:00,1092670.1,2017-10-27
2017-10-27 14:49:00,1092670.15,2017-10-27
2017-10-27 14:50:00,1092672.2,2017-10-27
2017-10-27 14:51:00,1092670.65,2017-10-27
2017-10-27 14:52:00,1092670.6,2017-10-27
2017-10-27 14:53:00,1092672.0,2017-10-27
2017-10-27 14:54:00,1092671.35,2017-10-27
2017-10-27 14:55:00,1092670.65,2017-10-27
2017-10-27 14:56:00,1092670.85,2017-10-27
2017-10-27 14:57:00,1092668.55,2017-10-27
2017-10-27 14:58:00,1092667.45,2017-10-27
2017-10-27 14:59:00,1092670.25,2017-10-27
2017-10-27 15:00:00,1092665.15,2017-10-27
2017-10-27 15:01:00,1092665.85,2017-10-27
2017-10-27 15:02:00,1092666.15,2017-10-27
2017-10-27 15:03:00,1092667.1,2017-10-27
2017-10-27 15:04:00,1092666.5,2017-10-27
2017-10-27 15:05:00,1092671.4,2017-10-27
2017-10-27 15:06:00,1092669.0,2017-10-27
2017-10-27 15:07:00,1092667.35,2017-10-27
2017-10-27 15:08:00,1092666.05,2017-10-27
2017-10-27 15:09:00,1092661.5,2017-10-27
2017-10-27 15:10:00,1092664.4,2017-10-27
2017-10-27 15:11:00,1092659.65,2017-10-27
2017-10-27 15:12:00,1092659.7,2017-10-27
2017-10-27 15:13:00,1092658.0,2017-10-27
2017-10-27 15:14:00,1092657.7,2017-10-27
2017-10-27 15:15:00,1092659.55,2017-10-27
2017-10-27 15:16:00,1092658.15,2017-10-27
2017-10-27 15:17:00,1092659.85,2017-10-27
2017-10-27 15:18:00,1092659.9,2017-10-27
2017-10-27 15:19:00,1092663.4,2017-10-27
2017-10-27 15:20:00,1092664.9,2017-10-27
2017-10-30 10:30:00,1094743.75,2017-10-30
2017-10-30 10:31:00,1094743.3,2017-10-30
2017-10-30 10:32:00,1094741.95,2017-10-30
2017-10-30 10:33:00,1094743.4,2017-10-30
2017-10-30 10:34:00,1094743.1,2017-10-30
2017-10-30 10:35:00,1094744.15,2017-10-30
2017-10-30 10:36:00,1094743.3,2017-10-30
2017-10-30 10:37:00,1094743.15,2017-10-30
2017-10-30 10:38:00,1094744.75,2017-10-30
2017-10-30 10:39:00,1094744.35,2017-10-30
2017-10-30 10:40:00,1094744.15,2017-10-30
2017-10-30 10:41:00,1094744.05,2017-10-30
2017-10-30 10:42:00,1094744.1,2017-10-30
2017-10-30 10:43:00,1094744.45,2017-10-30
